

"Von:";"01.01.2020";
"Bis:";"31.12.2020";
"Saldo:";"0 EUR";
"Datum:";"21.05.2021";

"Umsatz abgerechnet und nicht im Saldo enthalten";"Wertstellung";"Belegdatum";"Beschreibung";"Betrag (EUR)";"Urspr�nglicher Betrag";
"Ja";"23.12.2020";"22.12.2020";"Ausgleich Kreditkarte";"431,05";"";
"Ja";"14.11.2020";"11.12.2020";"AMZN";"-83,37";"";
"Ja";"14.10.2020";"12.12.2020";"REWE Weber oHGMuensingen";"-45,15";"";
"Ja";"11.09.2020";"10.12.2020";"SPARKASSE ULMNEUTORSTR.";"-100,00";"";
"Ja";"03.08.2020";"02.12.2020";"REWE";"-7,26";"";
"Ja";"03.06.2020";"02.12.2020";"REWE";"-19,21";"";
"Ja";"23.05.2020";"21.11.2020";"Media Markt";"-84,45";"";
"Ja";"23.04.2020";"21.11.2020";"IKEA";"-91,61";"";
"Ja";"21.03.2020";"20.11.2020";"Ausgleich Kreditkarte";"325,64";"";
"Ja";"18.02.2020";"17.11.2020";"Media Markt";"-10,02";"";
"Ja";"13.01.2020";"11.11.2020";"Media Markt";"-61,96";"";
